model,rmse,mae,coverage,diversity,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20
popularity,0.9555942654375595,0.7440818888988636,0.10416666666666667,0.7862844611528821,0.019672131147540985,0.04062331761394994,0.030537967251083306,0.02037470725995316,0.08947391712235354,0.04810507703389899,0.01797423887587822,0.15962385661207812,0.06930697712860417
svd,0.8025070087856355,0.6369924686394697,0.3177083333333333,0.7582847169641508,0.02599531615925059,0.05365408496693797,0.045120555692742405,0.02271662763466042,0.0895174428822314,0.05788031835032036,0.02101873536299766,0.17575120517846787,0.0835832981793459
user_knn,0.9136257703446736,0.7082521493506023,0.8802083333333334,0.7822358843650289,0.014285714285714287,0.027589596349067345,0.022576640024903248,0.014285714285714285,0.058132723837366354,0.03363665601874862,0.01639344262295082,0.13355366182546236,0.05696416298713703
item_knn,1.02861061045108,0.7971672587414307,0.9895833333333334,0.800994406390684,0.0117096018735363,0.031106185643656366,0.02205908292739574,0.012295081967213115,0.0598157003257568,0.03286393189577943,0.012295081967213115,0.11299370755218668,0.049034678518258185
