MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
1292233,发条橙 - 电影,发条桔子 / 发条橙子 / 发条橘子,马尔科姆·麦克道威尔/帕特里克·马基/迈克尔·贝茨/沃伦·克拉克/约翰·克莱夫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg,斯坦利·库布里克,8.6,418032,剧情/科幻/犯罪,tt0066921,英语,136.0,,英国 / 美国,1971-12-19,QuEnVvqUf,阿利斯（马尔科姆•麦克道尔）是一位无恶不作的少年，他的特殊喜好是边听贝多芬的交响曲边奸淫女性，某次他进入一所别墅抢劫一番后，打残了该别墅的主人——一名小说家，并用特殊喜好蹂躏了其妻子。后来因为杀了一名单身女子，阿利斯入狱并接受了特殊的人格治疗，出狱后，他对淫乐之事产生彻底的厌倦。,暴力/库布里克/发条橙/英国/经典/青春/犯罪/StanleyKubrick,1971.0,,
2124703,疯狂的赛车,银牌车手,黄渤/戎祥/九孔/徐峥/王双宝/巴多/董立范/高捷/马少骅/王迅/刘刚/赵奔/李麒麟/姜志刚/王鹭/宁浩,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510069458.jpg,宁浩,8.0,232464.0,喜剧/动作/冒险,tt0851515,汉语普通话 / 青岛话 / 闽南语 / 陕西话 / 武汉话 / 四川话,104.0,,中国大陆,2009-01-20,faMIZZZfa,在一次全国自行车锦标赛上，倒霉的职业车手耿浩（黄渤 饰）以0.01秒的微弱差距败给撞到狗屎运的对手，屈居亚军，随后他又遭奸商李法拉（九孔 饰）算计，因药检呈阳性而被终身禁赛，他的教练（马少骅 饰）因此气倒。,宁浩/黑色幽默/喜剧/黄渤/中国电影/中国/大陆/疯狂的赛车,2009.0,黄渤:1274242|戎祥:1313026|九孔:1274213|徐峥:1274297|王双宝:1275977|巴多:1315506|董立范:1317039|高捷:1276076|马少骅:1274966|王迅:1317139|刘刚:1419025|Worapoj Thuantanon:1405169|赵奔:1405170|李麒麟:1321641|姜志刚:1340171|王鹭:1405168|宁浩:1274265,宁浩:1274265
2053515,曾经 - 电影,一奏倾情(港) / 曾经。爱是唯一(台) / 曾经拥有 / 一生的唯一 / 情难独奏(豆友译名) / 宛似(豆友译名),格伦·汉塞德/玛可塔·伊尔格洛娃,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173720203.jpg,约翰·卡尼,8.3,291486,剧情/爱情/音乐,tt0907657,英语 / 捷克语,86.0,http://www.foxsearchlight.com/once/,爱尔兰,2007-01-20,qqMAm727e,这是一部由音乐开启的爱尔兰电影。　卖花女（Marketa Irglova）被街头艺人（Glen Hansard饰）的音乐所吸引，开始了一段荡气回肠的浪漫故事。他们不是王子和公主，各自有着琐碎的生活，但是他们有个共同点，那就是对音乐的热爱。在一次合奏中，他们找到了彼此间惊人的默契。这个发现让他们兴奋，很快他们找到了另外的一个同伴，组成了一个乐队，并通过优秀的表现得到了专业人士的肯定。与此同时，爱情也在逐渐萌芽。音乐是这部电影最大的亮点之一，塑造了极其浪漫唯美的氛围。,音乐/爱尔兰/爱情/文艺/温情/剧情/浪漫/2007,2007.0,,
4876722,钢的琴 - 电影,,王千源/秦海璐/张申英/刘谦/罗二羊/国永振/周逵/田雨/张亚希/项燕/许江宁/张惠志/刘星禹/王早来/王玥,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511447359.jpg,张猛,8.5,416594,剧情/喜剧,tt1723118,汉语普通话 / 俄语,119.0,,中国大陆,2011-07-15,7AQmFZ3ra,上世纪90年代初，东北某重工业城市。原钢厂工人陈桂林（王千源 饰）在下岗后，独自拉起了一支乐队，终日奔波在婚丧嫁娶、店铺开业的营生之中，生活勉强维持。他的妻子小菊（张申英 饰）离家出走，转投有钱的假药商人怀抱。如今小菊光鲜回归，不仅要与桂林离婚，还要争夺独生女小元的抚养权。桂林慨叹自己失败的命运，于是一心要将女儿培养成钢琴家。为了得到女儿，他四处筹措买钢琴的钱，甚至和女友淑娴（秦海璐 饰）以及当年钢厂的好哥们夜入学校偷钢琴。,文艺/大陆/剧情/中国/黑色幽默/温情/2010/喜剧,2010.0,,
1307106,无间道2 - 电影,无间道前传 / 无间道II,陈冠希/余文乐/曾志伟/黄秋生/吴镇宇/刘嘉玲/胡军/张耀扬/杜汶泽/连凯/廖启智/惠英红,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,刘伟强/麦兆辉,8.8,574227,剧情/动作/惊悚/犯罪,tt0369060,粤语 / 英语 / 汉语普通话 / 泰语,119.0,,香港,2003-10-17,ZRYReEnFf,1991年，香港黑帮龙头倪坤被杀，倪氏家族旗下五大头目中除韩琛（曾志伟）外，均伺机背叛发难，不料却被倪家不起眼的第二代倪永孝（吴镇宇）不费一兵一卒牵制，此举引来重案祖督察黄志诚（黄秋生）的戒心，使其派出警校学生陈永仁（余文乐）渗入倪家进行长期的卧底工作，而韩琛为了巩固势力，早在警察内部安插了线人刘建明（陈冠希）。三年后，事业蒸蒸日上的倪永孝为安枕无忧，决意将五大头目一举歼灭，却因疏忽让韩琛成为漏网之鱼。,香港/无间道/香港电影/警匪/黑帮/吴镇宇/梁朝伟/刘伟强,2003.0,,
4151110,山楂树之恋 - 电影,山楂树,周冬雨/窦骁/奚美娟/李雪健/姜瑞佳/于新博/萨日娜/成泰燊/吕丽萍/孙海英/王劲松/贺小语/易歆韵/裘慕远/胡馨元/边铁军/李庆/姚丽/陈星旭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p649179543.jpg,张艺谋,7.2,360329,剧情/爱情,tt1554523,汉语普通话,114.0,,中国大陆,2010-09-16,BIZB2jb6e,,爱情/张艺谋/知青/中国电影/中国/文學改編/大陆/2010,2010.0,,
1295409,纵横四海 - 电影,,周润发/张国荣/钟楚红/朱江/曾江/胡枫/唐宁/邓一君,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg,吴宇森,8.8,492616,剧情/喜剧/动作/犯罪,tt0101020,粤语 / 汉语普通话 / 客家话 / 英语 / 法语,108.0,,香港,1991-02-02,VvirUB2ba,砵仔糕（周润发饰）、阿占（张国荣饰）和红豆（锺楚红饰）均是孤儿，在养父（曾江饰）栽培下成为国际大盗。长大后成了帮他赚钱的艺术品大盗，而三人同时又认了警察（朱江饰）为干爹。,香港/经典/动作/犯罪/喜剧/友情/剧情/1991,1991.0,,
4066206,全城热恋 - 电影,全城热恋热辣辣 / 热辣辣,张学友/刘若英/谢霆锋/徐熙媛/吴彦祖/徐若瑄/井柏然/杨颖/段奕宏/付辛博/卫诗雅/刘家辉/余文乐/张曼玉/蔡卓妍/吕燕,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485353992.jpg,夏永康/陈国辉,6.3,255019,喜剧/爱情,tt1519640,汉语普通话 / 粤语 / 上海话 / 英语,93.0,,香港 / 美国 / 中国大陆,2010-02-11,Rmrizj7ua,本片讲述了6段烈日中的爱情故事：香港的中年司机（张学友 饰）因故结识了深圳的洗脚妹（刘若英 饰），两人日久生情；深圳，Wasabi（徐若瑄 饰）一直苦等酱油师傅（吴彦祖 饰）对爱的回应，但对方却心怀苦衷；香港，海滩卖遮阳伞的大叔（刘家辉 饰）推销笑话，但内心始终牵挂着亡妻；深圳，修理工阿威（谢霆锋 饰）邂逅了飞车女（徐熙媛 饰）碰撞出了火花；北京摄影师（段奕宏 饰）对模特的表现不满，后者负气离去，而他却突然失明，在助手（付辛博 饰）的陪伴下，他们追到深圳，各怀心事；20年前的镇江，乡下男孩（井柏然 饰）爱慕纺织女工（Angelababy 饰），并接受了在烈日下苦等100天的爱情誓约……,爱情/香港/喜剧/2010/浪漫/温情/贺岁/文艺,2010.0,,
3642835,黑衣人3 - 电影,MIB星际战警3(台) / 黑超特警组3(港),威尔·史密斯/汤米·李·琼斯/乔什·布洛林/杰梅奈·克莱门特/艾玛·汤普森/尼可·斯彻金格/爱丽丝·伊芙/大卫·拉斯彻/比尔·哈德尔/迈克尔·斯图巴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1731774258.jpg,巴里·索南菲尔德,7.7,304969,喜剧/动作/科幻,tt1409024,英语,103.0,http://www.meninblack.com,美国,2012-05-25,qaEfq6uib,月球最高监狱，穷凶极恶的伯格罗多星人鲍里斯（杰梅奈·克莱门特 Jemaine Clement 饰）越狱逃亡。他在1969年犯下邪恶罪行，最终被年轻的K（乔什·布洛林 Josh Brolin 饰） 砍掉一只手臂，送入监狱。此次他逃脱的目的，就是穿越时空杀死K。与此同时，J （威尔·史密斯 Will Smith 饰）和K（汤米·李·琼斯 Tommy Lee Jones 饰）一如既往处理各种外星人引起的混乱，因对鲍里斯的案件三缄其口，两个好搭档心生隔阂。,科幻/美国/喜剧/外星人/搞笑/动作/2012/特工,2012.0,,
1309043,金刚 - 电影,,娜奥米·沃茨/杰克·布莱克/艾德里安·布洛迪/托马斯·克莱舒曼/科林·汉克斯/安迪·瑟金斯/伊万·帕克/杰米·贝尔/洛博·陈/约翰·萨莫尔/克里格·霍尔/凯尔·钱德勒/威廉·约翰逊/马克·哈德洛/杰拉丁·博若飞/大卫·皮图,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p858079649.jpg,彼得·杰克逊,8.0,335919,动作/奇幻/冒险,tt0360717,英语,187.0,,新西兰 / 美国 / 德国,2006-01-12,6QuMQmrEf,导演率领拍摄组来到神秘的骷髅岛开始了一部电影的拍摄，女主角是漂亮娇小的安(娜奥米•沃茨 Naomi Watts 饰)，她在纽约的演艺事业陷入了低谷，这是她时来运转的大好机会。他们乘坐轮船来到岛上，却不知在岛上即将要险象横生。,科幻/美国/爱情/金刚/经典/魔幻/电影/2005,2005.0,,
1305065,公主日记,麻雀变公主 / 走佬俏公主,安妮·海瑟薇/朱莉·安德鲁斯/埃克托尔·埃利松多/希瑟·玛塔拉佐/曼迪·摩尔/卡罗琳·古多尔/罗伯特·舒瓦兹曼/伊瑞克·冯·迪滕/帕特里克·约翰·弗鲁格/肖恩·奥布赖恩/吴珊卓/凯瑟琳·马歇尔,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2169009638.jpg,盖瑞·马歇尔,7.5,218682.0,喜剧/爱情/家庭,tt0247638,英语,115.0,,美国,2001-08-03,E3N27QAIf,15岁的高中生米亚（安妮•海瑟薇 饰）与母亲生活在美国，但她十分不自信，也常常遭到同学的嘲笑。就在她16岁生日那天，她与祖母（茱莉•安德鲁 饰）见面后发现这个优雅的女士是欧洲小国吉诺维亚的女王，米亚正是这个国度的公主。刚开始米亚十分不愿，在母亲的调解下米亚的态度才有所缓和。,喜剧/美国/AnneHathaway/青春/公主日记/美国电影/爱情/童话,2001.0,安妮·海瑟薇:1048027|朱莉·安德鲁斯:1041081|埃克托尔·埃利松多:1036427|希瑟·玛塔拉佐:1040555|曼迪·摩尔:1000013|卡罗琳·古多尔:1041165|罗伯特·舒瓦兹曼:1013912|伊瑞克·冯·迪滕:1027155|帕特里克·约翰·弗鲁格:1183839|肖恩·奥布赖恩:1127233|吴珊卓:1010565|凯瑟琳·马歇尔:1119549|Mindy Burbano:|Kimleigh Smith:|Elizabeth Gudenrath:,盖瑞·马歇尔:1041160
2133323,白日梦想家 - 电影,发梦王大历险(港) / 白日梦冒险王(台) / 奇幻冒险家 / 梦里乾坤 / 沃尔特·米蒂的秘密生活 / 白日密语,本·斯蒂勒/克里斯汀·韦格/亚当·斯科特/西恩·潘/凯瑟琳·哈恩/泰伦斯·伯尼·海恩斯 /保罗·菲兹杰拉德/乔恩·戴利/乔伊·斯洛特尼克/格蕾丝·雷克斯/阿莱克斯·阿方格/阿曼达·诺顿/阿德里安·马丁斯/雪莉·麦克雷恩/艾米·斯蒂勒/斯图尔特·康菲尔德/奥拉维尔·达里·奥拉夫松/索哈德吕尔·西格罗森/贡纳·黑尔加松/凯·伦诺克斯/柯南·奥布莱恩/安迪·里克特/安东尼·德西奥/帕顿·奥斯瓦尔特/理查德·德多梅尼科/马特·莱文/格雷格·西佩斯/马米·科西科/马修·古利/罗丝玛丽·霍华德,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg,本·斯蒂勒,8.6,660636,剧情/喜剧/冒险,tt0359950,英语 / 西班牙语 / 冰岛语,114.0,,美国 / 英国,2013-12-25,faEJfEfaa,沃特.密提（本·斯蒂勒 Ben Stiller 饰）是一名在《生活》杂志工作了16年的胶片洗印经理，他性格内向，甚至无法跟心仪的同事谢莉尔（克里斯汀·韦格 Kristen Wiig 饰）开口搭讪，面对生活他像个旁观者，时常“放空”做白日英雄梦。直到有一天公司被并购，杂志需要做最后一期的封面，而封面成功与否的关键是找到狂野摄影师尚恩（西恩·潘 Sean Penn）的一卷胶片，沃特终于开口搭讪谢莉尔，并在她和母亲（雪莉·麦克雷恩 Shirley MacLaine 饰）的鼓励下踏上真正的冒险之旅，冰原、大海、喜马拉雅山……沃特的白日梦远不及现实壮丽。,美国/冒险/喜剧/励志/人生/奇幻/剧情/旅行,2013.0,,
